list-id-m,16,80,4,3840,4662961,1214,13689
list-id-s,1,10,4,30,117816,3927,31
list-id-s,2,10,4,60,120476,2007,40
list-id-s,4,10,4,120,200213,1668,314
list-id-s,8,10,4,240,255597,1064,73
list-id-s,12,10,4,360,377301,1048,142
list-id-s,16,10,4,480,576215,1200,290
list-id-s,1,20,4,60,136592,2276,26
list-id-s,2,20,4,120,161064,1342,170
list-id-s,4,20,4,240,222537,927,489
list-id-s,8,20,4,480,442589,922,1578
list-id-s,12,20,4,720,612053,850,2398
list-id-s,16,20,4,960,819948,854,3566
list-id-s,1,40,4,120,147158,1226,24
list-id-s,2,40,4,240,260464,1085,52
list-id-s,4,40,4,480,376681,784,628
list-id-s,8,40,4,960,761051,792,2235
list-id-s,12,40,4,1440,1218950,846,4797
list-id-s,16,40,4,1920,1858118,967,8154
list-id-s,1,80,4,240,251188,1046,23
list-id-s,2,80,4,480,327592,682,121
list-id-s,4,80,4,960,832720,867,1018
list-id-s,8,80,4,1920,1747701,910,3415
list-id-s,12,80,4,2880,3056436,1061,7780
list-id-s,16,80,4,3840,4948927,1288,13891
list-none-m,1,1000,1,3000,3600492,1200,24
list-none-m,2,1000,1,6000,24451573,4075,4080
list-none-m,4,1000,1,12000,93561296,7796,21888
list-none-m,8,1000,1,24000,381810781,15908,103724
list-none-m,12,1000,1,36000,913276545,25368,265440
list-none-m,1,1000,4,3000,1281553,427,25
list-none-m,2,1000,4,6000,6074310,1012,574
list-none-m,4,1000,4,12000,20638422,1719,3195
list-none-m,8,1000,4,24000,56758332,2364,12064
list-none-m,12,1000,4,36000,121341631,3370,29665
list-none-m,1,1000,8,3000,898075,299,25
list-none-m,2,1000,8,6000,6224775,1037,451
list-none-m,4,1000,8,12000,11725313,977,1248
list-none-m,8,1000,8,24000,25208542,1050,3928
list-none-m,12,1000,8,36000,44964648,1249,8531
list-none-m,1,1000,16,3000,618160,206,25
list-none-m,2,1000,16,6000,2167382,361,116
list-none-m,4,1000,16,12000,5849191,487,453
list-none-m,8,1000,16,24000,10623670,442,816
list-none-m,12,1000,16,36000,19868483,551,2648
list-none-s,1,1000,1,3000,3600400,1200,22
list-none-s,2,1000,1,6000,12209620,2034,1517
list-none-s,4,1000,1,12000,69837213,5819,13615
list-none-s,8,1000,1,24000,426471980,17769,112654
list-none-s,12,1000,1,36000,1143469857,31763,324782
list-none-s,1,1000,4,3000,1254300,418,22
list-none-s,2,1000,4,6000,12451047,2075,551
list-none-s,4,1000,4,12000,27035772,2252,3356
list-none-s,8,1000,4,24000,48203175,2008,9640
list-none-s,12,1000,4,36000,99828515,2773,23338
list-none-s,1,1000,8,3000,796708,265,22
list-none-s,2,1000,8,6000,6890282,1148,200
list-none-s,4,1000,8,12000,10536238,878,716
list-none-s,8,1000,8,24000,20227905,842,2641
list-none-s,12,1000,8,36000,34138086,948,5848
list-none-s,1,1000,16,3000,670723,223,26
list-none-s,2,1000,16,6000,1795124,299,49
list-none-s,4,1000,16,12000,5650071,470,228
list-none-s,8,1000,16,24000,9943995,414,751
list-none-s,12,1000,16,36000,14771058,410,1571
